race_id,year,date,start,finish,type
cyclassics-hamburg,2026,2026-08-16,Buxtehude,Hamburg,Flat
muensterland-giro,2026,2026-10-03,Borken,Münster,Flat
tour-de-neuss,2026,2026-07-29,Neuss,Neuss,Flat
schmitter-nacht-von-huerth,2026,2026-07-31,Hürth,Hürth,Flat
omloop-het-nieuwsblad-women,2026,2026-02-28,Gent,Ninove,Hilly
strade-bianche-donne,2026,2026-03-07,Siena,Siena,Hilly
trofeo-alfredo-binda,2026,2026-03-15,Cocquio-Trevisago,Cittiglio,Hilly
milano-sanremo-women,2026,2026-03-21,Genova,Sanremo,Hilly
ronde-van-brugge-women,2026,2026-03-26,Brugge,De Panne,Flat
in-flanders-fields-women,2026,2026-03-29,,,Hilly
dwars-door-vlaanderen-women,2026,2026-04-01,Roeselare,Waregem,Hilly
ronde-van-vlaanderen-women,2026,2026-04-05,Oudenaarde,Oudenaarde,Hilly
paris-roubaix-femmes,2026,2026-04-12,Denain,Roubaix,Flat
amstel-gold-race-ladies,2026,2026-04-19,Maastricht,Berg en Terblijt,Hilly
fleche-wallonne-femmes,2026,2026-04-22,Huy,Huy,Hilly
liege-bastogne-liege-femmes,2026,2026-04-26,Bastogne,Liège,Hilly
copenhagen-sprint-women,2026,2026-06-13,Copenhagen,Copenhagen,Flat
classic-lorient,2026,2026-08-29,Plouay,Plouay,Hilly
omloop-het-nieuwsblad,2026,2026-02-28,Gent,Ninove,Hilly
strade-bianche,2026,2026-03-07,Siena,Siena,Hilly
milano-sanremo,2026,2026-03-21,Pavia,Sanremo,Hilly
ronde-van-brugge,2026,2026-03-25,Brugge,De Panne,Flat
e3-saxo-classic,2026,2026-03-27,Harelbeke,Harelbeke,Hilly
in-flanders-fields,2026,2026-03-29,Middelkerke,Wevelgem,Hilly
dwars-door-vlaanderen,2026,2026-04-01,Roeselare,Waregem,Hilly
ronde-van-vlaanderen,2026,2026-04-05,Antwerpen,Oudenaarde,Hilly
paris-roubaix,2026,2026-04-12,Compiègne,Roubaix,Flat
amstel-gold-race,2026,2026-04-19,Maastricht,Berg en Terblijt,Hilly
fleche-wallonne,2026,2026-04-22,Charleroi,Huy,Hilly
liege-bastogne-liege,2026,2026-04-26,Liège,Liège,Hilly
eschborn-frankfurt,2026,2026-05-01,Eschborn,Frankfurt,Hilly
copenhagen-sprint,2026,2026-06-14,Copenhagen,Copenhagen,Flat
dssk,2026,2026-08-01,San Sebastián,San Sebastián,Hilly
bretagne-classic,2026,2026-08-30,Plouay,Plouay,Hilly
il-lombardia,2026,2026-10-10,Como,Bergamo,Hilly
